
transaction_amount,transaction_hour,merchant_category,country_risk,card_present,online_transaction,failed_attempts,transactions_last_hour,account_age_days,fraud
606.19,20,Shopping,1,0,1,0,10,3208,1
1400.76,20,Entertainment,1,0,0,4,1,966,0
1278.69,16,Fuel,0,0,1,4,19,3187,1
1427.02,13,Restaurant,1,0,0,4,7,2693,0
3388.83,23,Restaurant,1,1,0,0,6,1893,1
3578.39,15,Grocery,0,1,0,0,12,3052,0
2967.59,0,Shopping,1,0,1,3,1,73,1
1162.14,22,Shopping,1,0,1,3,10,3004,1
571.08,2,Restaurant,1,0,1,1,10,3306,1
1371.08,3,Fuel,1,1,0,0,2,2865,0
1574.89,12,Electronics,0,1,1,0,6,1384,0
1324.96,1,Restaurant,0,1,0,5,6,74,0
3836.05,7,Restaurant,1,1,0,1,7,2645,0
2474.02,9,Electronics,1,0,1,1,4,279,1
1835.97,5,Electronics,1,1,1,3,7,3002,1
3770.07,5,Restaurant,1,1,0,0,14,1331,1
652.61,16,Fuel,0,1,1,3,10,3441,1
2407.04,14,Restaurant,0,0,0,3,6,967,0
329.96,13,Grocery,0,0,0,3,17,2743,0
2132.58,2,Travel,0,0,1,1,6,1960,1
4632.13,8,Travel,1,1,1,2,4,2520,1
1708.99,22,Travel,0,0,0,4,8,1787,0
4413.04,10,Electronics,0,1,1,4,14,1923,1
3080.83,0,Fuel,0,0,0,0,1,1403,0
1131.42,17,Travel,1,0,0,3,8,306,0
465.96,8,Grocery,1,0,1,3,16,2564,1
1680.86,10,Restaurant,0,1,1,5,7,1832,0
4882.57,18,Shopping,0,0,0,4,5,3086,0
4456.89,6,Fuel,1,0,0,2,10,3361,1
3840.33,20,Grocery,0,1,0,4,15,3268,1
160.98,16,Shopping,0,0,0,2,20,3246,0
526.07,21,Electronics,0,0,0,1,17,1072,0
379.15,16,Electronics,1,1,0,5,11,331,1
3917.28,4,Restaurant,1,0,1,5,14,247,1
2435.68,16,Entertainment,1,1,0,0,3,1289,0
1037.03,17,Travel,1,0,1,4,12,137,1
4212.22,23,Grocery,0,0,1,2,1,3219,1
278.77,2,Entertainment,0,0,1,5,8,1857,1
400.12,9,Entertainment,1,1,1,1,20,1921,1
3495.75,18,Entertainment,1,0,0,4,20,612,1
4641.21,2,Fuel,0,0,1,2,13,779,1
24.92,11,Travel,1,0,0,0,14,2314,0
3581.19,5,Travel,0,1,1,0,12,1665,1
757.97,9,Travel,1,1,1,5,1,2439,1
